descretePN	PN	verb
ポジ（評価）	0.9889389999999999	軽捷です
ポジ（評価）	0.9889389999999999	軽捷だ
ポジ（評価）	0.9886870000000001	堂堂の
ポジ（評価）	0.9886870000000001	堂堂だ
ポジ（評価）	0.9886870000000001	堂堂です
ポジ（評価）	0.9886219999999999	睦まじい
ポジ（評価）	0.988576	手早い
ポジ（評価）	0.988574	剛勇です
ポジ（評価）	0.988574	剛勇だ
ポジ（評価）	0.988541	床しい
ポジ（評価）	0.9885409999999999	小才の利く
ポジ（評価）	0.988382	卓絶
ポジ（評価）	0.988291	勇壮の
ポジ（評価）	0.988291	勇壮だ
ポジ（評価）	0.988291	勇壮です
ポジ（評価）	0.988182	明哲の
ポジ（評価）	0.988182	明哲です
ポジ（評価）	0.988182	明哲だ
ポジ（経験）	0.9879530000000001	契約更新できる
ポジ（評価）	0.987909	心地好い
ポジ（評価）	0.987874	福福しい
ポジ（評価）	0.9878459999999999	多士済々だ
ポジ（評価）	0.9878459999999999	多士済々の
ポジ（評価）	0.9878459999999999	多士済々です
ポジ（評価）	0.987844	物堅い
ポジ（評価）	0.987516	守ることができる
ポジ（評価）	0.987516	守ることはできる
ポジ（評価）	0.987453	ベターの
ポジ（評価）	0.987453	ベターです
ポジ（評価）	0.987453	ベターだ
ポジ（評価）	0.987159	広量です
ポジ（評価）	0.987159	広量の
ポジ（評価）	0.987159	広量だ
ポジ（評価）	0.987081	名うての
ポジ（評価）	0.98708	見易い
ポジ（評価）	0.986992	最上だ
ポジ（評価）	0.986992	最上です
ポジ（評価）	0.986992	最上の
ポジ（評価）	0.9869040000000001	気品がある
ポジ（評価）	0.9868180000000001	気安い
ポジ（評価）	0.986627	広大です
ポジ（評価）	0.986627	広大だ
ポジ（評価）	0.986604	強靭だ
ポジ（評価）	0.986604	強靭です
ポジ（評価）	0.986511	高尚だ
ポジ（評価）	0.986511	高尚です
ポジ（評価）	0.986474	恭しい
ポジ（評価）	0.986275	好漢だ
ポジ（評価）	0.986275	好漢の
ポジ（評価）	0.986275	好漢です
ポジ（評価）	0.985994	暖まる
ポジ（評価）	0.985967	剛健です
ポジ（評価）	0.985967	剛健の
ポジ（評価）	0.985967	剛健だ
ポジ（評価）	0.9858950000000001	豊満だ
ポジ（評価）	0.9858950000000001	豊満です
ポジ（評価）	0.985894	上出来です
ポジ（評価）	0.985894	上出来だ
ポジ（評価）	0.9856590000000001	辛抱強い
ポジ（評価）	0.9856290000000001	慈悲深い
ポジ（評価）	0.9855360000000001	話す上手です
ポジ（評価）	0.9855360000000001	話す上手だ
ポジ（評価）	0.98546	勝る
ポジ（評価）	0.985347	清清
ポジ（評価）	0.9853209999999999	善良です
ポジ（評価）	0.9853209999999999	善良の
ポジ（評価）	0.9853209999999999	善良だ
ポジ（評価）	0.9850200000000001	心安い
ポジ（経験）	0.9850120000000001	鍛えてもらう
ポジ（経験）	0.9850120000000001	鍛えてくれる
ポジ（評価）	0.984833	ずば抜ける
ポジ（評価）	0.984667	俊敏だ
ポジ（評価）	0.984667	俊敏です
ポジ（評価）	0.984667	俊敏の
ポジ（評価）	0.9845959999999999	警抜です
ポジ（評価）	0.9845959999999999	警抜だ
ポジ（経験）	0.984585	直る
ポジ（評価）	0.984575	心強い
ポジ（評価）	0.984324	男らしい
ポジ（評価）	0.984273	わくわく
ポジ（評価）	0.984203	品行方正だ
ポジ（評価）	0.984203	方正だ
ポジ（評価）	0.984203	方正です
ポジ（評価）	0.984203	品行方正です
ポジ（評価）	0.984203	品行方正の
ポジ（評価）	0.983926	可愛らしい
ポジ（経験）	0.983885	適う
ポジ（評価）	0.983717	義理堅い
ポジ（評価）	0.983651	ゆったり
ポジ（経験）	0.983474	晴れる
ポジ（評価）	0.983339	小躍りする
ポジ（評価）	0.983193	燦然
ポジ（評価）	0.982957	好適です
ポジ（評価）	0.982957	好適だ
ポジ（評価）	0.9824700000000001	心憎い
ポジ（評価）	0.982402	はしこい
ポジ（経験）	0.9823370000000001	憧れる
ポジ（評価）	0.9822780000000001	正統派
ポジ（評価）	0.98224	雄勁の
ポジ（評価）	0.98224	雄勁です
ポジ（評価）	0.98224	雄勁だ
ポジ（評価）	0.982153	誠意がある
ポジ（評価）	0.9820969999999999	つましい
ポジ（評価）	0.9818469999999999	いかす
ポジ（評価）	0.981799	末頼もしい
ポジ（経験）	0.9817040000000001	頑張る
ポジ（評価）	0.981441	程よい
ポジ（評価）	0.981144	賛同
ポジ（評価）	0.980715	気強い
ポジ（評価）	0.980676	真新しい
ポジ（評価）	0.980453	つやつや
ポジ（評価）	0.980345	玲瓏だ
ポジ（評価）	0.980345	玲瓏です
ポジ（評価）	0.980345	玲瓏の
ポジ（評価）	0.9801030000000001	絶品だ
ポジ（評価）	0.9801030000000001	絶品です
ポジ（評価）	0.9801030000000001	絶品の
ポジ（評価）	0.9798879999999999	毅然の
ポジ（評価）	0.9798879999999999	毅然だ
ポジ（評価）	0.9798879999999999	毅然です
ポジ（評価）	0.979449	自信たっぷりの
ポジ（評価）	0.979449	自信たっぷりだ
ポジ（評価）	0.979449	自信たっぷりです
ポジ（評価）	0.979251	多才の
ポジ（評価）	0.979251	多才です
ポジ（評価）	0.979251	多才だ
ポジ（評価）	0.9788479999999999	良識的だ
ポジ（評価）	0.9788479999999999	良識的です
ポジ（評価）	0.9787620000000001	好意的です
ポジ（評価）	0.9787620000000001	好意的だ
ポジ（評価）	0.978416	目新しい
ポジ（評価）	0.9781850000000001	こなれる
ポジ（評価）	0.978038	粘り強い
ポジ（評価）	0.977979	清い
ポジ（評価）	0.977873	稚い
ポジ（評価）	0.977799	楽しめる
ポジ（経験）	0.9777469999999999	惚れ惚れ
ポジ（評価）	0.977712	癒す
ポジ（評価）	0.976944	奇跡的です
ポジ（評価）	0.976944	奇跡的だ
ポジ（評価）	0.976576	女らしい
ポジ（評価）	0.9759899999999999	易易
ポジ（経験）	0.9759389999999999	薫る
ポジ（評価）	0.975693	望ましい
ポジ（評価）	0.975678	究極的です
ポジ（評価）	0.975678	究極的だ
ポジ（評価）	0.9751299999999999	涼しい
ポジ（評価）	0.9751270000000001	暖かい
ポジ（評価）	0.9747300000000001	慈愛深い
ポジ（評価）	0.974333	奥床しい
ポジ（評価）	0.974267	典雅です
ポジ（評価）	0.974267	典雅だ
ポジ（評価）	0.973619	やんごとない
ポジ（評価）	0.9734659999999999	手堅い
ポジ（評価）	0.9731219999999999	悠悠だ
ポジ（評価）	0.9731219999999999	悠悠です
ポジ（評価）	0.9731219999999999	悠悠の
ポジ（評価）	0.973052	並外れる
ポジ（評価）	0.9730129999999999	潔い
ポジ（評価）	0.97288	敬慕
ポジ（評価）	0.972844	手広い
ポジ（評価）	0.9717790000000001	お茶の子さいさいの
ポジ（評価）	0.9717790000000001	お茶の子さいさいです
ポジ（評価）	0.9717790000000001	お茶の子さいさいだ
ポジ（経験）	0.971301	整う
ポジ（評価）	0.970807	しっくり
ポジ（評価）	0.9702314999999999	面白おかしい
ポジ（経験）	0.970031	助かる
ポジ（評価）	0.969454	義人
ポジ（評価）	0.969418	安閑の
ポジ（評価）	0.969418	安閑です
ポジ（評価）	0.969418	安閑だ
ポジ（評価）	0.9692879999999999	きりりと
ポジ（評価）	0.96851	楚楚の
ポジ（評価）	0.96851	楚楚です
ポジ（評価）	0.96851	楚楚だ
ポジ（評価）	0.96824	小気味好い
ポジ（評価）	0.967239	閑雅です
ポジ（評価）	0.967239	閑雅だ
ポジ（評価）	0.9671780000000001	色っぽい
ポジ（評価）	0.9668415	愛想が良い
ポジ（評価）	0.9666170000000001	慕わしい
ポジ（評価）	0.966397	奥深い
ポジ（評価）	0.966267	静謐です
ポジ（評価）	0.966267	静謐だ
ポジ（評価）	0.966248	上向く
ポジ（評価）	0.965448	意欲的だ
ポジ（評価）	0.965448	意欲的です
ポジ（評価）	0.96399	言いえて妙だ
ポジ（評価）	0.963925	向上する
ポジ（評価）	0.962514	定評ある
ポジ（経験）	0.96078	好む
ポジ（評価）	0.960766	目映い
ポジ（評価）	0.960258	珍しい
ポジ（評価）	0.956091	高大だ
ポジ（評価）	0.956091	高大です
ポジ（評価）	0.9553719999999999	明るい
ポジ（評価）	0.955201	誇らしい
ポジ（経験）	0.9549139999999999	待遠しい
ポジ（評価）	0.9521940000000001	長ける
ポジ（評価）	0.951451	ぴったり
ポジ（評価）	0.949422	慎ましい
ポジ（評価）	0.947457	人懐っこい
ポジ（評価）	0.9444525000000001	景気が良い
ポジ（評価）	0.943407	若い
ポジ（経験）	0.943343	治しれもらう
ポジ（評価）	0.943204	きっちり
ポジ（評価）	0.941427	大業だ
ポジ（評価）	0.941427	大業です
ポジ（評価）	0.941427	大業の
ポジ（経験）	0.9413100000000001	恍惚です
ポジ（経験）	0.9413100000000001	恍惚だ
ポジ（経験）	0.9413100000000001	恍惚の
ポジ（評価）	0.938205	効果ある
ポジ（評価）	0.9375030000000001	偉い
ポジ（経験）	0.936944	育ててくれる
ポジ（経験）	0.936944	育ててもらう
ポジ（評価）	0.936865	なまめかしい
ポジ（評価）	0.933688	愛想よく
ポジ（評価）	0.933688	愛想いい
ポジ（評価）	0.928871	上位の
ポジ（評価）	0.928871	上位です
ポジ（評価）	0.928871	上位だ
ポジ（評価）	0.928266	満ち溢れる
ポジ（評価）	0.923008	馴染む
ポジ（評価）	0.920111	水際立つ
ポジ（評価）	0.9116790000000001	トップの
ポジ（評価）	0.9116790000000001	トップです
ポジ（評価）	0.9116790000000001	トップだ
ポジ（評価）	0.902252	夢心地だ
ポジ（評価）	0.902252	夢心地の
ポジ（評価）	0.902252	夢心地です
ポジ（評価）	0.8991549999999999	平気の平左です
ポジ（評価）	0.8991549999999999	平気の平左だ
ポジ（評価）	0.8991549999999999	平気の平左の
ポジ（評価）	0.8971100000000001	価値はある
ポジ（評価）	0.8971100000000001	価値がある
ポジ（評価）	0.8903369999999999	豪宕だ
ポジ（評価）	0.8903369999999999	豪宕です
ポジ（経験）	0.8754919999999999	似合う
ポジ（評価）	0.873598	いじらしい
ポジ（評価）	0.8691679999999999	選ぶことはできる
ポジ（評価）	0.8691679999999999	選ぶことができる
ポジ（評価）	0.868474	一徹だ
ポジ（評価）	0.868474	一徹です
ポジ（評価）	0.85697	廉直だ
ポジ（評価）	0.85697	廉直です
ポジ（評価）	0.849718	怜悧です
ポジ（評価）	0.849718	怜悧だ
ポジ（評価）	0.8396429999999999	壮麗だ
ポジ（評価）	0.8396429999999999	壮麗です
ポジ（評価）	0.838857	凛と
ポジ（評価）	0.826972	慈しむ深い
ポジ（評価）	0.8167789999999999	有能だ
ポジ（評価）	0.8167789999999999	有能です
ポジ（評価）	0.8167789999999999	有能の
ポジ（評価）	0.809142	寛大だ
ポジ（評価）	0.809142	寛大です
ポジ（評価）	0.7888350000000001	上上吉の
ポジ（評価）	0.7888350000000001	上上吉です
ポジ（評価）	0.7888350000000001	上上吉だ
ポジ（評価）	0.7879278	気が利く
ポジ（評価）	0.782655	思い切りのいい
ポジ（評価）	0.7771523499999999	質実剛健だ
ポジ（評価）	0.7771523499999999	質実剛健の
ポジ（評価）	0.7771523499999999	質実剛健です
ポジ（経験）	0.774146	温まる
ポジ（評価）	0.773465	金城鉄壁の
ポジ（評価）	0.773465	金城鉄壁です
ポジ（評価）	0.773465	金城鉄壁だ
ポジ（評価）	0.7665949999999999	寛げる
ポジ（評価）	0.7657729999999999	清廉だ
ポジ（評価）	0.7657729999999999	清廉です
ポジ（評価）	0.763936	実直です
ポジ（評価）	0.763936	実直の
ポジ（評価）	0.763936	実直だ
ポジ（評価）	0.7631863	気が若い
ポジ（評価）	0.760597	高雅だ
ポジ（評価）	0.760597	高雅です
ポジ（評価）	0.760597	高雅の
ポジ（評価）	0.759822	豪放の
ポジ（評価）	0.759822	豪放です
ポジ（評価）	0.759822	豪放だ
ポジ（評価）	0.7524158	よく気が付く
ポジ（評価）	0.747685	飽き足りる
ポジ（経験）	0.747685	足りる
ポジ（評価）	0.7446955	格好良い
ポジ（評価）	0.739795	悠然だ
ポジ（評価）	0.739795	悠然です
ポジ（評価）	0.739795	悠然の
ポジ（評価）	0.737524	豊潤だ
ポジ（評価）	0.737524	豊潤です
ポジ（評価）	0.737524	豊潤の
ポジ（評価）	0.7360850000000001	明達だ
ポジ（評価）	0.7360850000000001	明達の
ポジ（評価）	0.7360850000000001	明達です
ポジ（評価）	0.730061	都雅だ
ポジ（評価）	0.730061	都雅です
ポジ（経験）	0.7295020000000001	捗る
ポジ（評価）	0.716977	清廉潔白だ
ポジ（評価）	0.716977	清廉潔白です
ポジ（評価）	0.716977	清廉潔白の
ポジ（評価）	0.7060536666666667	清廉潔白と
ポジ（評価）	0.7013119999999999	大満足
ポジ（評価）	0.692704	名の通った
ポジ（評価）	0.692704	名のある
ポジ（評価）	0.692391	天空海闊です
ポジ（評価）	0.692391	天空海闊の
ポジ（評価）	0.692391	天空海闊だ
ポジ（評価）	0.690454	超凡と
ポジ（評価）	0.69024	白眉と
ポジ（評価）	0.6894	雄偉と
ポジ（評価）	0.688879	高貴と
ポジ（評価）	0.688491	優良と
ポジ（評価）	0.6884085	幅利きと
ポジ（評価）	0.6878445	上等と
ポジ（評価）	0.687583	快哉と
ポジ（評価）	0.6867965	ぴか一と
ポジ（評価）	0.686757	広壮と
ポジ（評価）	0.686447	堂堂と
ポジ（評価）	0.686249	勇壮と
ポジ（評価）	0.6861945	明哲と
ポジ（評価）	0.6860264999999999	多士済々と
ポジ（評価）	0.6858299999999999	ベターと
ポジ（評価）	0.685683	広量と
ポジ（評価）	0.6855994999999999	最上と
ポジ（評価）	0.685241	好漢と
ポジ（評価）	0.685087	剛健と
ポジ（評価）	0.6847639999999999	善良と
ポジ（評価）	0.684437	俊敏と
ポジ（評価）	0.684205	品行方正と
ポジ（評価）	0.6832235	雄勁と
ポジ（評価）	0.682276	玲瓏と
ポジ（評価）	0.6821550000000001	絶品と
ポジ（評価）	0.682121	完全無欠だ
ポジ（評価）	0.682121	完全無欠です
ポジ（評価）	0.682121	完全無欠の
ポジ（評価）	0.681828	自信たっぷりと
ポジ（評価）	0.681729	多才と
ポジ（評価）	0.6786645	悠悠と
ポジ（評価）	0.6779930000000001	お茶の子さいさいと
ポジ（評価）	0.6768125	安閑と
ポジ（評価）	0.6763585	楚楚と
ポジ（評価）	0.6727075	心地良い
ポジ（評価）	0.66674	うっとり
ポジ（評価）	0.664341	目立つ
ポジ（評価）	0.662817	大業と
ポジ（経験）	0.6627585	恍惚と
ポジ（評価）	0.656175	不抜の
ポジ（評価）	0.656175	不抜です
ポジ（評価）	0.656175	不抜だ
ポジ（評価）	0.652222	手っ取り早い
ポジ（評価）	0.647943	トップと
ポジ（評価）	0.647459	敏活だ
ポジ（評価）	0.647459	敏活です
ポジ（評価）	0.643188	満たせる
ポジ（評価）	0.641681	平気の平左と
ポジ（評価）	0.641453	冴える
ポジ（評価）	0.633359	多望です
ポジ（評価）	0.633359	多望だ
ポジ（評価）	0.624485	別嬪の
ポジ（評価）	0.624485	別嬪だ
ポジ（評価）	0.624485	別嬪です
ポジ（評価）	0.6050260000000001	風雅です
ポジ（評価）	0.6050260000000001	風雅だ
ポジ（評価）	0.603378	シルキーです
ポジ（評価）	0.603378	シルキーだ
ポジ（評価）	0.5978829999999999	生やさしい
ポジ（評価）	0.5978399999999999	先駆的だ
ポジ（評価）	0.5978399999999999	先駆的です
ポジ（評価）	0.5946309999999999	能力がある
ポジ（評価）	0.594094	申込める
ポジ（評価）	0.594094	申込むことはできる
ポジ（評価）	0.594094	申込むことができる
ポジ（評価）	0.593131	風流人
ポジ（経験）	0.591555	気に入る
ポジ（評価）	0.5865210000000001	上上吉と
ポジ（評価）	0.585384	満ち足りる
ポジ（評価）	0.5851599999999999	歯牙にかけない
ポジ（評価）	0.58217	落ち着き払った
ポジ（評価）	0.581609	流石だ
ポジ（評価）	0.581609	流石
ポジ（評価）	0.581609	流石です
ポジ（評価）	0.580786	ちゃんと
ポジ（評価）	0.580727	優婉だ
ポジ（評価）	0.580727	優婉です
ポジ（評価）	0.579768	金鉄の
ポジ（評価）	0.579768	金鉄です
ポジ（評価）	0.579768	金鉄だ
ポジ（評価）	0.5769949999999999	いい具合の
ポジ（評価）	0.5769949999999999	いい具合です
ポジ（評価）	0.5769949999999999	いい具合だ
ポジ（評価）	0.5769949999999999	具合よく
ポジ（評価）	0.575699	目を奪う
ポジ（評価）	0.575699	目が高い
ポジ（評価）	0.575699	目の中へいれるても痛いない
ポジ（評価）	0.575699	目を見張る
ポジ（評価）	0.574203	願ってもない
ポジ（評価）	0.572514	耳が肥えるている
ポジ（評価）	0.572074	高める
ポジ（評価）	0.57203	外柔内剛です
ポジ（評価）	0.57203	外柔内剛の
ポジ（評価）	0.57203	外柔内剛だ
ポジ（評価）	0.565844	閑閑です
ポジ（評価）	0.565844	閑閑だ
ポジ（評価）	0.565844	閑閑の
ポジ（評価）	0.5653900000000001	活気のある
ポジ（評価）	0.561399	絶大だ
ポジ（評価）	0.561399	絶大です
ポジ（評価）	0.560991	薔薇色の
ポジ（評価）	0.560991	薔薇色です
ポジ（評価）	0.560991	薔薇色だ
ポジ（経験）	0.559221	満腹
ポジ（評価）	0.5576479999999999	革新的だ
ポジ（評価）	0.5576479999999999	革新的です
ポジ（評価）	0.552705	胆が太い
ポジ（評価）	0.551644	流用できる
ポジ（評価）	0.550819	満すことができる
ポジ（評価）	0.550819	満すことはできる
ポジ（評価）	0.550774	心掛ける
ポジ（評価）	0.550111	小粋です
ポジ（評価）	0.550111	小粋だ
ポジ（評価）	0.5477805	金鉄と
ポジ（評価）	0.546394	いい具合と
ポジ（評価）	0.5461705666666666	質実剛健と
ポジ（評価）	0.544432	広漠だ
ポジ（評価）	0.544432	広漠の
ポジ（評価）	0.544432	広漠です
ポジ（評価）	0.543732	屁の河童だ
ポジ（評価）	0.543732	屁の河童です
ポジ（評価）	0.543732	屁の河童の
ポジ（評価）	0.541449	追加購入できる
ポジ（評価）	0.541405	余裕綽綽です
ポジ（評価）	0.541405	余裕綽綽の
ポジ（評価）	0.541405	余裕綽綽だ
ポジ（経験）	0.5404709999999999	親しむ
ポジ（評価）	0.5404709999999999	親しみやすい
ポジ（評価）	0.538554	口上手の
ポジ（評価）	0.538554	口上手だ
ポジ（評価）	0.538554	口上手です
ポジ（評価）	0.538392	薔薇色と
ポジ（評価）	0.537612	めきめき
ポジ（評価）	0.537494	肯定的だ
ポジ（評価）	0.537494	肯定的です
ポジ（評価）	0.533285	訳無い
ポジ（評価）	0.5301125	広漠と
ポジ（評価）	0.5297624999999999	屁の河童と
ポジ（評価）	0.5281	解放的です
ポジ（評価）	0.5281	解放的だ
ポジ（評価）	0.527635	深奥だ
ポジ（評価）	0.527635	深奥です
ポジ（評価）	0.527635	深奥の
ポジ（評価）	0.5241359999999999	独創的です
ポジ（評価）	0.5241359999999999	独創的だ
ポジ（評価）	0.5241359999999999	独創
ポジ（評価）	0.523319	一石二鳥の
ポジ（評価）	0.523319	一石二鳥です
ポジ（評価）	0.523319	一石二鳥だ
ポジ（評価）	0.523069	清々
ポジ（評価）	0.521843	辛棒づよい
ポジ（評価）	0.521714	深奥と
ポジ（経験）	0.52083	味わう
ポジ（評価）	0.519556	一石二鳥と
ポジ（評価）	0.515793	閑人と
ポジ（評価）	0.515793	尖鋭と
ポジ（評価）	0.515793	凛凛と
ポジ（評価）	0.515793	凛乎と
ポジ（評価）	0.515793	煌煌と
ポジ（評価）	0.515793	鬼に金棒と
ポジ（評価）	0.515793	稀少と
ポジ（評価）	0.515793	マルと
ポジ（評価）	0.515793	奨めと
ポジ（評価）	0.515793	引っ張りだこと
ポジ（評価）	0.515793	腕ききと
ポジ（評価）	0.515793	鮮鋭と
ポジ（評価）	0.515793	蒼茫と
ポジ（評価）	0.515793	骨太と
ポジ（評価）	0.515793	りんとした
ポジ（評価）	0.515793	好条件と
ポジ（評価）	0.515793	さといと
ポジ（評価）	0.515793	堅忍不抜と
ポジ（評価）	0.515793	易々と
ポジ（評価）	0.515793	インテリジェントと
ポジ（評価）	0.515793	歴々と
ポジ（評価）	0.515793	オススメと
ポジ（評価）	0.515793	昵懇と
ポジ（評価）	0.515793	小器用と
ポジ（評価）	0.515793	すご腕と
ポジ（評価）	0.515793	粒ぞろいと
ポジ（評価）	0.515793	力持ちと
ポジ（評価）	0.515793	ばら色と
ポジ（評価）	0.515793	ピカイチと
ポジ（評価）	0.515793	洒々落々と
ポジ（評価）	0.515793	細緻と
ポジ（評価）	0.515793	猛勇と
ポジ（評価）	0.515793	ふたつとない
ポジ（評価）	0.515793	世界最高と
ポジ（評価）	0.515793	世話好きと
ポジ（評価）	0.515793	敬虔と
ポジ（評価）	0.515793	似合いと
ポジ（評価）	0.515793	清爽と
ポジ（経験）	0.515793	感無量と
ポジ（評価）	0.515793	優生と
ポジ（評価）	0.515793	優等生と
ポジ（評価）	0.515793	もっけの幸いと
ポジ（評価）	0.515793	血の通う人と
ポジ（評価）	0.515793	筋金入りと
ポジ（評価）	0.515793	やり手と
ポジ（評価）	0.515793	興味津々と
ポジ（評価）	0.515793	最上級と
ポジ（評価）	0.515793	明けっ広げと
ポジ（評価）	0.515793	盛栄と
ポジ（評価）	0.515793	精細だと
ポジ（評価）	0.515793	名車と
ポジ（評価）	0.515793	ハイクラスと
ポジ（評価）	0.515793	上級と
ポジ（評価）	0.515793	美事と
ポジ（評価）	0.515793	いい気分と
ポジ（評価）	0.515793	百戦錬磨と
ポジ（評価）	0.515793	お気にいりと
ポジ（評価）	0.515793	平滑と
ポジ（評価）	0.515793	堂々と
ポジ（評価）	0.515793	百花繚乱と
